50,56,90,105,152,95,86,49,86,41,80,,
100,364,804,739,446,755,784,490,991,737,893,,
150,3165,3557,4494,3815,4167,3526,1569,3209,3622,2064,,
200,8613,8537,8209,8683,9100,8791,8261,7192,6625,7153,,
250,17323,17991,17410,15921,18446,14594,19639,14439,15604,16192,,
300,27016,37405,30411,33161,37074,31414,32808,27311,38512,25878,,
