50,4956,4998,4967,5000,4978,4969,4988,5009,4988,4994,,
100,5083,5251,5187,5075,5212,5222,5145,5345,5195,5271,,
150,6137,6401,7022,6572,6751,6346,5485,6190,6414,5777,,
200,9086,9056,8856,9098,9415,9135,8876,7968,7732,7763,,
250,13982,14364,13703,12582,14406,11574,15369,11636,12379,12755,,
300,17554,20077,26952,20746,22015,17498,16367,,
