50,62,94,112,142,102,90,52,91,41,75,,
100,367,985,772,518,798,851,588,1192,805,1094,,
150,3433,4010,5692,4781,5218,3887,1649,3444,4580,2527,,
200,11180,11032,10514,11064,11769,11182,10465,8196,7325,7946,,
250,22668,23606,22501,18741,23675,16487,25364,16398,18095,18608,,
300,29548,46713,34814,38461,49229,35823,37526,29936,50516,27958,,
