50,5000,4968,5002,5002,5035,4981,5003,4985,4968,4962,,
100,5098,5264,5210,5087,5221,5208,5116,5335,5198,5270,,
150,6095,6337,6915,6524,6717,6321,5403,6103,6390,5718,,
200,9071,8934,8764,9009,9332,9047,8784,7958,7692,7762,,
250,13601,13948,13369,12404,13997,11450,15007,11407,12130,12456,,
300,17187,19661,26444,20333,21345,15958,,
