100,1
200,7
300,12
400,17
500,24
600,35
700,44
800,56
900,71
1000,87
1100,108
1200,123
1300,148
1400,186
1500,212
1600,246
1700,276
1800,312
1900,389
2000,412
2100,458
2200,493
2300,540
2400,582
2500,636
2600,697
2700,834
2800,888
2900,966
3000,1002
3100,1067
3200,1145
3300,1200
3400,1269
3500,1360
3600,1446
3700,1492
3800,1608
3900,1854
4000,1962
4100,2041
4200,2094
4300,2213
4400,2289
4500,2405
4600,2502
4700,2595
4800,2698
4900,2829
5000,2923
5100,3067
5200,3156
5300,3272
5400,3401
5500,3963
5600,3981
5700,4087
5800,4196
5900,4405
6000,4437
6100,4645
6200,4691
6300,4958
6400,5061
6500,5185
6600,5227
6700,5389
6800,5668
6900,5843
7000,5910
7100,6134
7200,6169
7300,6496
7400,6489
7500,6746
7600,6798
7700,7075
7800,8151
7900,8161
8000,8464
8100,8777
8200,8773
8300,8912
8400,9099
8500,9312
8600,9461
8700,9503
8800,9749
8900,10031
9000,10306
9100,10321
9200,10701
9300,11080
9400,11122
9500,11304
9600,11486
9700,11634
9800,12072
9900,12352
10000,12268
