p1,p2,p3,SIZE,SIZE^3,非重複数,重複要素数,重複率,非重複数（mod S^3 * 3）,重複数（mod S^3 *3）,重複率（mod S^3 * 3）
7,199,101,100,1000000,29792,970208,97.0208,29792,970208,97.0208
7,199,211,100,1000000,40644,959356,95.9356,40644,959356,95.9356
7,199,307,100,1000000,49274,950726,95.0726,49274,950726,95.0726
7,199,401,100,1000000,58924,941076,94.1076,58924,941076,94.1076
7,199,503,100,1000000,67492,932508,93.2508,67492,932508,93.2508
7,199,601,100,1000000,77818,922182,92.2182,77818,922182,92.2182
7,199,701,100,1000000,88282,911718,91.1718,88282,911718,91.1718
7,199,809,100,1000000,98968,901032,90.1032,98968,901032,90.1032
7,199,907,100,1000000,108298,891702,89.1702,108298,891702,89.1702
7,199,991,100,1000000,116038,883962,88.3962,116038,883962,88.3962
7,199,997,100,1000000,117488,882512,88.2512,117488,882512,88.2512
7,199,1009,100,1000000,78310,921690,92.169,78310,921690,92.169
7,199,1511,100,1000000,166996,833004,83.3004,166996,833004,83.3004
7,199,1999,100,1000000,215530,784470,78.447,215530,784470,78.447
7,199,2003,100,1000000,215458,784542,78.4542,215458,784542,78.4542
7,199,2503,100,1000000,242056,757944,75.7944,242056,757944,75.7944
7,199,3001,100,1000000,313552,686448,68.6448,313552,686448,68.6448
7,199,4001,100,1000000,231760,768240,76.824,231760,768240,76.824
7,199,5003,100,1000000,287200,712800,71.28,287200,712800,71.28
7,199,6007,100,1000000,607498,392502,39.2502,607498,392502,39.2502
7,199,7001,100,1000000,681796,318204,31.8204,681796,318204,31.8204
7,199,8009,100,1000000,447580,552420,55.242,447580,552420,55.242
7,199,9001,100,1000000,639640,360360,36.036,639640,360360,36.036
7,199,10007,100,1000000,819820,180180,18.018,816160,183840,18.384
7,211,11,100,1000000,22612,977388,97.7388,22612,977388,97.7388
7,211,13,100,1000000,22798,977202,97.7202,22798,977202,97.7202
7,211,101,100,1000000,31150,968850,96.885,31150,968850,96.885
7,211,199,100,1000000,40644,959356,95.9356,40644,959356,95.9356
7,211,307,100,1000000,51116,948884,94.8884,51116,948884,94.8884
7,211,401,100,1000000,53140,946860,94.686,53140,946860,94.686
7,211,503,100,1000000,70320,929680,92.968,70320,929680,92.968
7,211,601,100,1000000,79852,920148,92.0148,79852,920148,92.0148
7,211,701,100,1000000,89418,910582,91.0582,89418,910582,91.0582
7,211,809,100,1000000,91664,908336,90.8336,91664,908336,90.8336
7,211,907,100,1000000,104188,895812,89.5812,104188,895812,89.5812
7,211,991,100,1000000,115624,884376,88.4376,115624,884376,88.4376
7,211,997,100,1000000,117964,882036,88.2036,117964,882036,88.2036
7,211,1009,100,1000000,119768,880232,88.0232,119768,880232,88.0232
7,211,1511,100,1000000,167104,832896,83.2896,167104,832896,83.2896
7,211,1999,100,1000000,215488,784512,78.4512,215488,784512,78.4512
7,211,2003,100,1000000,215452,784548,78.4548,215452,784548,78.4548
7,211,2503,100,1000000,261630,738370,73.837,261630,738370,73.837
7,211,3001,100,1000000,313702,686298,68.6298,313702,686298,68.6298
7,211,4001,100,1000000,406702,593298,59.3298,406702,593298,59.3298
7,211,5003,100,1000000,509218,490782,49.0782,509218,490782,49.0782
7,211,6007,100,1000000,409564,590436,59.0436,409564,590436,59.0436
7,211,7001,100,1000000,702590,297410,29.741,702590,297410,29.741
7,211,8009,100,1000000,725818,274182,27.4182,725818,274182,27.4182
7,211,9001,100,1000000,707950,292050,29.205,707950,292050,29.205
7,211,10007,100,1000000,695278,304722,30.4722,692268,307732,30.7732
7,307,11,100,1000000,32116,967884,96.7884,32116,967884,96.7884
7,307,13,100,1000000,32302,967698,96.7698,32302,967698,96.7698
7,307,101,100,1000000,40482,959518,95.9518,40482,959518,95.9518
7,307,199,100,1000000,49274,950726,95.0726,49274,950726,95.0726
7,307,211,100,1000000,51116,948884,94.8884,51116,948884,94.8884
7,307,401,100,1000000,69018,930982,93.0982,69018,930982,93.0982
7,307,503,100,1000000,77304,922696,92.2696,77304,922696,92.2696
7,307,601,100,1000000,87520,912480,91.248,87520,912480,91.248
7,307,701,100,1000000,97690,902310,90.231,97690,902310,90.231
7,307,809,100,1000000,103582,896418,89.6418,103582,896418,89.6418
7,307,907,100,1000000,58906,941094,94.1094,58906,941094,94.1094
7,307,991,100,1000000,113878,886122,88.6122,113878,886122,88.6122
7,307,997,100,1000000,124804,875196,87.5196,124804,875196,87.5196
7,307,1009,100,1000000,128120,871880,87.188,128120,871880,87.188
7,307,1511,100,1000000,176014,823986,82.3986,176014,823986,82.3986
7,307,1999,100,1000000,155926,844074,84.4074,155926,844074,84.4074
7,307,2003,100,1000000,215128,784872,78.4872,215128,784872,78.4872
7,307,2503,100,1000000,272386,727614,72.7614,272386,727614,72.7614
7,307,3001,100,1000000,313120,686880,68.688,313120,686880,68.688
7,307,4001,100,1000000,416166,583834,58.3834,416166,583834,58.3834
7,307,5003,100,1000000,276508,723492,72.3492,276508,723492,72.3492
7,307,6007,100,1000000,358480,641520,64.152,358480,641520,64.152
7,307,7001,100,1000000,675796,324204,32.4204,675796,324204,32.4204
7,307,8009,100,1000000,566380,433620,43.362,566380,433620,43.362
7,307,9001,100,1000000,395506,604494,60.4494,395506,604494,60.4494
7,307,10007,100,1000000,795070,204930,20.493,787960,212040,21.204
7,401,11,100,1000000,41422,958578,95.8578,41422,958578,95.8578
7,401,13,100,1000000,41608,958392,95.8392,41608,958392,95.8392
7,401,101,100,1000000,49786,950214,95.0214,49786,950214,95.0214
7,401,199,100,1000000,58924,941076,94.1076,58924,941076,94.1076
